               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10221,            0.031726,            0.039422,             0.00324,             0.83903,            0.021754,            0.005676,            0.071514,            0.017618,            0.034803,              0.0865,              0.0015,              0.0015
                   1,            0.075408,            0.030133,            0.032077,            0.089521,             0.24795,             0.26083,            0.096995,            0.062275,             0.01331,            0.025728,            0.071947,           0.0029465,           0.0029465
                   2,            0.061228,            0.024924,            0.027326,             0.29128,             0.66645,             0.39787,             0.18853,            0.056567,           0.0095132,            0.020994,            0.057235,           0.0042347,           0.0042347
                   3,            0.057716,            0.020472,            0.024661,             0.32629,             0.59588,             0.39368,             0.18165,            0.051738,           0.0085615,            0.018527,            0.042364,           0.0053644,           0.0053644
                   4,             0.05831,            0.020776,            0.023139,             0.50444,             0.62741,             0.61987,             0.32221,            0.046776,            0.008142,            0.015192,            0.027336,           0.0063358,           0.0063358
                   5,            0.054928,            0.018883,            0.019021,             0.58568,             0.69597,             0.66613,             0.31043,            0.050095,           0.0074154,            0.013276,            0.012149,           0.0071487,           0.0071487
                   6,            0.051898,            0.017764,             0.01829,             0.41263,             0.60758,             0.46162,             0.20811,            0.057363,           0.0080802,            0.015215,             0.00703,             0.00703,             0.00703
                   7,            0.054109,            0.018162,            0.014881,             0.48291,             0.62902,              0.5491,             0.26592,            0.049132,           0.0076942,           0.0091816,             0.00703,             0.00703,             0.00703
                   8,            0.050098,            0.017666,             0.01466,             0.76017,              0.7385,             0.78352,             0.40757,            0.040904,            0.007424,           0.0076262,            0.006535,            0.006535,            0.006535
                   9,            0.047239,            0.017646,            0.012238,             0.61393,             0.63126,             0.66317,              0.3632,            0.043526,           0.0086427,           0.0098827,             0.00604,             0.00604,             0.00604
                  10,            0.043176,            0.015879,            0.015848,             0.81594,             0.70517,             0.79491,             0.44797,            0.044102,           0.0081175,           0.0088714,            0.005545,            0.005545,            0.005545
                  11,            0.045825,            0.016916,            0.011323,             0.74062,             0.72266,             0.80659,             0.47992,              0.0359,           0.0079678,           0.0080839,             0.00505,             0.00505,             0.00505
                  12,            0.039548,            0.016538,            0.010339,             0.74379,             0.72687,             0.80507,             0.44426,             0.03981,            0.007774,            0.006359,            0.004555,            0.004555,            0.004555
                  13,            0.040573,            0.016073,           0.0097544,             0.85192,             0.82682,             0.90494,             0.57598,            0.032348,           0.0067976,           0.0043076,             0.00406,             0.00406,             0.00406
                  14,            0.039187,            0.016226,           0.0075999,             0.91978,             0.89934,             0.94787,             0.62057,            0.031816,           0.0062242,           0.0039815,            0.003565,            0.003565,            0.003565
                  15,            0.037573,            0.015233,           0.0088972,              0.9376,             0.89435,             0.95501,             0.67711,            0.027796,           0.0059435,           0.0038069,             0.00307,             0.00307,             0.00307
                  16,            0.033968,            0.014825,           0.0087346,             0.94306,             0.92362,              0.9612,             0.67146,            0.029342,           0.0058382,           0.0044141,            0.002575,            0.002575,            0.002575
                  17,            0.032267,            0.015455,            0.010179,             0.91798,             0.91129,             0.95925,             0.69576,            0.028443,           0.0056884,           0.0029176,             0.00208,             0.00208,             0.00208
                  18,            0.034519,            0.015247,           0.0071905,             0.93751,             0.93423,             0.97032,             0.71634,            0.027113,           0.0055471,           0.0025789,            0.001585,            0.001585,            0.001585
                  19,            0.031583,            0.014233,           0.0063993,             0.96069,              0.9396,             0.97369,             0.71876,            0.025704,           0.0054681,           0.0023263,             0.00109,             0.00109,             0.00109
